word1 word2 vowels  etainshrdlu
----- ----- ------  ------------
adieu short aeiou   etaoi_shrd_u
adieu snort aeiou   etaoins_rd_u
adult horse aeou    etao__shrdlu
adult noise aeiou   etaoins__dlu
ahead snort aeo     etao_nshrd__
ahead union aeiou   e_aoin_h_d_u
ahead until aeiu    eta_in_h_dlu
alter sound aeou    etao_ns_rdlu
alter union aeiou   etaoin__r_lu
death union aeiou   etaoin_h_d_u
earth solid aeio    etaoi_shrdl_
earth sound aeou    etao_nshrd_u
earth union aeiou   etaoin_hr__u
heart solid aeio    etaoi_shrdl_
heart sound aeou    etao_nshrd_u
heart union aeiou   etaoin_hr__u
horse until eiou    et_oinshr_lu
house train aeiou   etaoinshr__u
house trial aeiou   etaoi_shr_lu
ideal short aeio    etaoi_shrdl_
ideal snort aeio    etaoins_rdl_
ideal south aeiou   etaoi_sh_dlu
learn south aeou    etao_nshr_lu
nurse total aeou    etao_ns_r_lu
order until eiou    et_oin__rdlu
order usual aeou    e_ao__s_rdlu
other usual aeou    etao__shr_lu
round taste aeou    etao_ns_rd_u
share union aeiou   e_aoinshr__u
share until aeiu    eta_inshr_lu
solid treat aeio    etaoi_s_rdl_
sound treat aeou    etao_ns_rd_u
sound trial aiou    _taoins_rdlu
taste union aeiou   etaoins____u
total under aeou    etao_n__rdlu
trade union aeiou   etaoin__rd_u
treat union aeiou   etaoin__r__u
