word1 word2 vowels  etainshrdlu
----- ----- ------  ------------
adieu short aeiou   etaoi_shrd_u
adieu snort aeiou   etaoins_rd_u
adult horse aeou    etao__shrdlu
adult noise aeiou   etaoins__dlu
alter sound aeou    etao_ns_rdlu
earth solid aeio    etaoi_shrdl_
earth sound aeou    etao_nshrd_u
heart solid aeio    etaoi_shrdl_
heart sound aeou    etao_nshrd_u
horse until eiou    et_oinshr_lu
house train aeiou   etaoinshr__u
house trial aeiou   etaoi_shr_lu
ideal short aeio    etaoi_shrdl_
ideal snort aeio    etaoins_rdl_
ideal south aeiou   etaoi_sh_dlu
learn south aeou    etao_nshr_lu
round taste aeou    etao_ns_rd_u
share until aeiu    eta_inshr_lu
sound trial aiou    _taoins_rdlu
